"";"p_val";"avg_logFC";"pct.1";"pct.2";"p_val_adj";"cluster";"gene";"cluster_no"
"Lpcat31";1,28625821044925e-07;0,361017135117773;0,9;0,768;0,00228259382026324;"GW";"Lpcat3";1
"H2-Q101";4,04578960584078e-07;0,245042196846541;0,891;0,783;0,00717965823452505;"GW";"H2-Q10";1
"Soat11";6,62662379884506e-07;0,330978140533527;0,826;0,659;0,0117596065934304;"GW";"Soat1";1
"Cyba1";1,07099003352188e-06;0,361888008497418;0,927;0,795;0,0190057891348793;"GW";"Cyba";1
"Fasn1";2,32661193368388e-06;0,204191274591613;0,667;0,529;0,0412880553751542;"GW";"Fasn";1
"Mid1ip11";3,07111607500177e-06;0,281269508485312;0,751;0,608;0,0545000258669813;"GW";"Mid1ip1";1
"Acsl31";5,33607433018665e-06;0,24589826083855;0,842;0,744;0,0946939750634922;"GW";"Acsl3";1
"Sycn";2,16893962784653e-05;0,207434574107593;0,439;0,305;0,384900026357645;"GW";"Sycn";1
"Gsta4";0,00390474963703927;0,212475844762385;0,866;0,779;1;"GW";"Gsta4";1
"Oat2";1,57923251909962e-08;0,254228628421549;0,984;0,96;0,000280250602839419;"DMSO";"Oat";2
"Plac81";3,26940817470956e-07;0,289698062642027;0,971;0,914;0,00580189174683958;"DMSO";"Plac8";2
"Gm1123";1,33518085941077e-06;0,28039898090284;0,735;0,567;0,0236941195311035;"DMSO";"Gm1123";2
"Kcne3";2,3930998975059e-06;0,235025710585965;0,483;0,309;0,0424679507811397;"DMSO";"Kcne3";2
"Cldn151";4,6634167064105e-06;0,245503542148415;0,724;0,55;0,0827569928719607;"DMSO";"Cldn15";2
"Smim242";2,41050995512852e-05;0,353779701905977;0,717;0,482;0,427769096637107;"DMSO";"Smim24";2
"Lypd82";5,22983803457983e-05;0,256153511237942;0,965;0,907;0,928087057616536;"DMSO";"Lypd8";2
"Uaca";0,000456861205397986;0,200761218347672;0,652;0,505;1;"DMSO";"Uaca";2
"Aldob1";0,000740367286767466;0,225573647052792;0,59;0,431;1;"DMSO";"Aldob";2
"Myl12b1";0,000773558638625579;0,201978754370215;0,889;0,815;1;"DMSO";"Myl12b";2
"Gm5485";0,000819887541840343;0,281955880410378;0,317;0,191;1;"DMSO";"Gm5485";2
