"";"p_val";"avg_log2FC";"pct.1";"pct.2";"p_val_adj";"gene"
"Lrat";3,11115242774964e-100;-0,498620165183176;0,145;0,242;6,98080381738465e-96;"Lrat"
"Uqcrb";6,57038961554058e-100;-0,283803825664969;0,62;0,728;1,47426402193499e-95;"Uqcrb"
"Eif5a";8,28760691105129e-100;-0,286156827473187;0,482;0,603;1,85957323870169e-95;"Eif5a"
"Cenpx";1,1720659973134e-99;-0,309474855946554;0,171;0,276;2,62988168477181e-95;"Cenpx"
"Cope";3,03020250211708e-99;-0,291542577851696;0,249;0,368;6,79916837425031e-95;"Cope"
"Timm10b";1,84182666924159e-98;-0,30366435177804;0,319;0,441;4,13269068044429e-94;"Timm10b"
"Eif3h";2,18097535879516e-98;-0,308064821495261;0,374;0,496;4,89367251006458e-94;"Eif3h"
"Aurkaip1";2,78641096091382e-98;-0,295458617283507;0,194;0,303;6,25214891409844e-94;"Aurkaip1"
"Cdc42ep5";7,18865872899516e-98;-0,308906200271353;0,139;0,237;1,61299124561193e-93;"Cdc42ep5"
"Klf2";1,67776739240258e-97;0,762529182213274;0,575;0,498;3,76457447507291e-93;"Klf2"
"Sf3b5";2,44869646835773e-97;-0,288083619540699;0,342;0,469;5,49438513570108e-93;"Sf3b5"
"Atp5j2";2,78416196650162e-97;-0,26888089305304;0,669;0,77;6,24710262043633e-93;"Atp5j2"
"Etfb";6,22979959699909e-97;-0,296485129589313;0,363;0,488;1,39784243357465e-92;"Etfb"
"Gapdh";6,88170796292329e-97;-0,278505128915849;0,593;0,704;1,54411763272073e-92;"Gapdh"
"S100a1";1,04627211873334e-96;-0,347952140827198;0,328;0,446;2,34762538001387e-92;"S100a1"
"Rer1";3,72929383329138e-96;-0,287092968677203;0,292;0,414;8,36778950313919e-92;"Rer1"
"Mrpl20";1,09350894315074e-95;-0,292194751683615;0,27;0,389;2,45361536664162e-91;"Mrpl20"
"1810058I24Rik";1,24778910427879e-95;-0,309044702562157;0,267;0,384;2,79978919218076e-91;"1810058I24Rik"
"Sec61b";1,37195078094068e-95;-0,25880497693012;0,593;0,711;3,0783831622747e-91;"Sec61b"
"Rcn3";3,91218377524858e-95;-0,310645933428341;0,498;0,615;8,77815795490277e-91;"Rcn3"
"Rbms1";1,07511145395238e-94;0,353684954594309;0,734;0,687;2,41233508037834e-90;"Rbms1"
"Ech1";1,51555324039745e-94;-0,299327271050184;0,212;0,322;3,40059836080379e-90;"Ech1"
"Cox7a2";4,81792645479877e-94;-0,284185618007808;0,658;0,758;1,08104633792775e-89;"Cox7a2"
"Ndufa11";1,30089286512382e-93;-0,298491943774029;0,492;0,612;2,91894341076483e-89;"Ndufa11"
"Atox1";2,86499240262936e-93;-0,271159148456743;0,483;0,606;6,42846995301976e-89;"Atox1"
"Sparc";3,39693046665514e-93;-0,344623173931168;0,853;0,886;7,62203258108081e-89;"Sparc"
"Hmgn2";3,89150783884224e-93;-0,314696978424862;0,197;0,301;8,73176528879421e-89;"Hmgn2"
"Sec11a";6,16093516727757e-93;-0,283262075971905;0,274;0,391;1,38239063283374e-88;"Sec11a"
"Svbp";9,6891479286027e-93;-0,27082017382656;0,182;0,287;2,17405101221987e-88;"Svbp"
"Lsm4";1,11194584975989e-92;-0,291222277990686;0,241;0,353;2,49498409769124e-88;"Lsm4"
"Serping1";1,39724511368215e-92;-0,275448076661227;0,725;0,803;3,13513858608e-88;"Serping1"
"Klf6";1,17983537836628e-91;0,618998512656314;0,607;0,538;2,64731462197826e-87;"Klf6"
"Ostc";4,57089346258796e-91;-0,286282974944101;0,364;0,486;1,02561707513549e-86;"Ostc"
"Timm13";8,17625842900311e-91;-0,269997469097027;0,429;0,553;1,83458886629972e-86;"Timm13"
"Ndufa8";1,12959664314158e-90;-0,289147014588204;0,281;0,395;2,53458894788109e-86;"Ndufa8"
"Map1lc3b";6,10508982126374e-90;-0,2476924007098;0,681;0,774;1,36986005409516e-85;"Map1lc3b"
"Sulf2";1,55515713518445e-89;-0,394999781105067;0,29;0,398;3,48946157992686e-85;"Sulf2"
"Mmp2";6,61345625251471e-89;-0,330197405030948;0,541;0,637;1,48392731393925e-84;"Mmp2"
"Gm11808";8,54967599167288e-89;-0,289300030696211;0,142;0,236;1,91837629901156e-84;"Gm11808"
"Tmem176b";1,07618560857074e-88;-0,537033442205391;0,712;0,757;2,41474526851104e-84;"Tmem176b"
"Txn1";1,2819586355263e-88;-0,253070813087823;0,641;0,746;2,87645878639391e-84;"Txn1"
"Eef2";1,41015544244936e-88;-0,210241824237959;0,821;0,892;3,16410678176788e-84;"Eef2"
"Cuta";1,50587144095461e-88;-0,275802393946291;0,339;0,46;3,37887433921395e-84;"Cuta"
"Ndufv3";1,58053215852646e-88;-0,290432384752491;0,48;0,598;3,54639805730166e-84;"Ndufv3"
"Mfap2";1,84632841001808e-88;-0,299794319790402;0,143;0,237;4,14279168639858e-84;"Mfap2"
"Rsrp1";1,98591957264286e-88;0,293237464841811;0,778;0,737;4,45600633709605e-84;"Rsrp1"
"Ly6e";2,43187391806512e-88;0,438151999698153;0,788;0,751;5,45663869735452e-84;"Ly6e"
"Atp5e";1,34418385728548e-87;-0,19726254569474;0,833;0,9;3,01607973897716e-83;"Atp5e"
"Ccdc12";2,17830192774893e-87;-0,288848828932974;0,23;0,336;4,88767386548305e-83;"Ccdc12"
"Vps28";4,08892253012151e-87;-0,268429217816862;0,223;0,331;9,17472437308664e-83;"Vps28"
"Lpcat3";4,26777284517382e-87;0,319358825251151;0,18;0,101;9,57602871000101e-83;"Lpcat3"
"Rnh1";6,56911010603001e-87;-0,276170960041164;0,169;0,268;1,47397692559101e-82;"Rnh1"
"Ldlr";1,02781943751324e-86;0,416880215116211;0,237;0,151;2,30622125389221e-82;"Ldlr"
"Tspan13";1,47797185994105e-86;0,482403217000195;0,208;0,123;3,31627325933573e-82;"Tspan13"
"Hcfc1r1";1,49346596106549e-86;-0,309028967477071;0,347;0,462;3,35103892343875e-82;"Hcfc1r1"
"Cox6c";4,31895023368741e-86;-0,225564426327123;0,831;0,9;9,6908605343478e-82;"Cox6c"
"Pold4";4,82425939179131e-86;-0,272825057810612;0,123;0,211;1,08246732233013e-81;"Pold4"
"Polr2f";6,55248856482737e-86;-0,277717253821801;0,307;0,421;1,47024738417597e-81;"Polr2f"
"Rras";1,92186097684936e-85;-0,331705213229173;0,315;0,426;4,31227165985459e-81;"Rras"
"Mrps14";1,07034539935008e-83;-0,257143143002422;0,299;0,415;2,40164100706172e-79;"Mrps14"
